1_Human-Computer Interaction_University of Minnesota - Twin Cities,2_Human-Computer Interaction_University of Illinois at Urbana-Champaign,1
1_Bioinformatics & Computational Biology_Massachusetts Institute of Technology,2_Bioinformatics & Computational Biology_Stanford University,1
1_Bioinformatics & Computational Biology_Tel Aviv University,2_Bioinformatics & Computational Biology_University of California - Berkeley,1
1_Programming Languages_University of California - San Diego,2_Programming Languages_University of Illinois at Urbana-Champaign,1
1_Natural Language & Speech_University of California - Berkeley,2_Natural Language & Speech_Stanford University,1
1_Security & Privacy_Stanford University,2_Security & Privacy_Carnegie Mellon University,1
1_Security & Privacy_Washington University - St. Louis,2_Security & Privacy_Carnegie Mellon University,1
1_Programming Languages_University of Waterloo - Ontario,2_Programming Languages_University of Texas - Austin,1
1_Computer Vision_University of Oxford,2_Computer Vision_University of Illinois at Urbana-Champaign,1
1_Software Engineering_University of Washington,2_Software Engineering_University of Illinois at Urbana-Champaign,1
1_Algorithms & Theory_Stanford University,2_Algorithms & Theory_Cornell University,1
1_Databases_Massachusetts Institute of Technology,2_Databases_University of Washington,1
1_Programming Languages_University of Illinois at Urbana-Champaign,2_Programming Languages_University of California - Berkeley,1
1_Data Mining_University of Toronto,2_Data Mining_Carnegie Mellon University,1
1_Information Retrieval_Carnegie Mellon University,2_Information Retrieval_University of Illinois at Urbana-Champaign,1
1_Scientific Computing_University of California - Berkeley,2_Scientific Computing_Carnegie Mellon University,1
1_Programming Languages_Johns Hopkins University,2_Programming Languages_University of Texas - Austin,1
1_Networks & Communications_University of California - Santa Barbara,2_Networks & Communications_Massachusetts Institute of Technology,1
1_Security & Privacy_North Carolina State University,2_Security & Privacy_Carnegie Mellon University,1
1_Programming Languages_Princeton University,2_Programming Languages_Princeton University,1
1_Software Engineering_California Institute of Technology,2_Software Engineering_Massachusetts Institute of Technology,1
1_Computer Vision_California Institute of Technology,2_Computer Vision_Stanford University,1
1_Distributed & Parallel Computing_Cornell University,2_Distributed & Parallel Computing_University of Illinois at Urbana-Champaign,1
1_Programming Languages_Massachusetts Institute of Technology,2_Programming Languages_University of California - Berkeley,1
1_Databases_University of Toronto,2_Databases_University of Texas - Austin,1
1_Bioinformatics & Computational Biology_Carnegie Mellon University,2_Bioinformatics & Computational Biology_Stanford University,1
1_Algorithms & Theory_Massachusetts Institute of Technology,2_Algorithms & Theory_Georgia Institute of Technology,2
1_Bioinformatics & Computational Biology_Carnegie Mellon University,2_Bioinformatics & Computational Biology_University of Texas - Austin,1
1_Algorithms & Theory_University of California - Berkeley,2_Algorithms & Theory_Princeton University,1
1_Distributed & Parallel Computing_University of Waterloo - Ontario,2_Distributed & Parallel Computing_Stanford University,1
1_Human-Computer Interaction_Ohio State University,2_Human-Computer Interaction_Carnegie Mellon University,1
1_Natural Language & Speech_University of Maryland - College Park,2_Natural Language & Speech_Carnegie Mellon University,1
1_Programming Languages_Massachusetts Institute of Technology,2_Programming Languages_Massachusetts Institute of Technology,1
1_Hardware & Architecture_Massachusetts Institute of Technology,2_Hardware & Architecture_Massachusetts Institute of Technology,2
1_Hardware & Architecture_California Institute of Technology,2_Hardware & Architecture_University of California - Berkeley,1
1_Artificial Intelligence_University of Bonn,2_Artificial Intelligence_University of Washington,1
1_Networks & Communications_Carnegie Mellon University,2_Networks & Communications_Georgia Institute of Technology,1
1_Hardware & Architecture_University of Michigan,2_Hardware & Architecture_Stanford University,1
1_Artificial Intelligence_Stanford University,2_Artificial Intelligence_Carnegie Mellon University,2
1_Data Mining_University of Wisconsin - Madison,2_Data Mining_University of Illinois at Urbana-Champaign,1
1_Natural Language & Speech_Massachusetts Institute of Technology,2_Natural Language & Speech_University of Washington,1
1_Artificial Intelligence_Massachusetts Institute of Technology,2_Artificial Intelligence_University of California - Berkeley,2
1_Natural Language & Speech_University of Illinois at Urbana-Champaign,2_Natural Language & Speech_University of Texas - Austin,1
1_Graphics_University of Texas - Dallas,2_Graphics_University of Texas - Austin,1
1_Bioinformatics & Computational Biology_Massachusetts Institute of Technology,2_Bioinformatics & Computational Biology_University of California - Berkeley,2
1_Artificial Intelligence_Massachusetts Institute of Technology,2_Artificial Intelligence_Carnegie Mellon University,1
1_Bioinformatics & Computational Biology_California Institute of Technology,2_Bioinformatics & Computational Biology_University of Texas - Austin,1
1_Security & Privacy_University of California - Berkeley,2_Security & Privacy_Massachusetts Institute of Technology,2
1_Human-Computer Interaction_Carnegie Mellon University,2_Human-Computer Interaction_Massachusetts Institute of Technology,1
1_Machine Learning & Pattern Recognition_University of California - Berkeley,2_Machine Learning & Pattern Recognition_Carnegie Mellon University,1
1_Algorithms & Theory_Massachusetts Institute of Technology,2_Algorithms & Theory_Cornell University,3
1_Distributed & Parallel Computing_University of Illinois at Urbana-Champaign,2_Distributed & Parallel Computing_University of Illinois at Urbana-Champaign,1
1_Algorithms & Theory_Harvard University,2_Algorithms & Theory_Stanford University,1
1_Human-Computer Interaction_Stanford University,2_Human-Computer Interaction_Carnegie Mellon University,3
1_Machine Learning & Pattern Recognition_University of California - Berkeley,2_Machine Learning & Pattern Recognition_Stanford University,1
1_Hardware & Architecture_University of California - Berkeley,2_Hardware & Architecture_Carnegie Mellon University,2
1_Security & Privacy_Massachusetts Institute of Technology,2_Security & Privacy_Cornell University,1
1_Security & Privacy_University of California - San Diego,2_Security & Privacy_Georgia Institute of Technology,1
1_Security & Privacy_Massachusetts Institute of Technology,2_Security & Privacy_Stanford University,1
1_Natural Language & Speech_Stanford University,2_Natural Language & Speech_Stanford University,1
1_Graphics_University of Washington,2_Graphics_Princeton University,1
1_Algorithms & Theory_University of California - Berkeley,2_Algorithms & Theory_Stanford University,1
1_Graphics_University of Rochester,2_Graphics_Georgia Institute of Technology,1
1_Distributed & Parallel Computing_Stanford University,2_Distributed & Parallel Computing_University of Illinois at Urbana-Champaign,2
1_Hardware & Architecture_University of Illinois at Urbana-Champaign,2_Hardware & Architecture_University of Washington,1
1_Scientific Computing_Cornell University,2_Scientific Computing_Georgia Institute of Technology,1
1_Programming Languages_Stanford University,2_Programming Languages_Georgia Institute of Technology,1
1_Bioinformatics & Computational Biology_Hebrew University of Jerusalem,2_Bioinformatics & Computational Biology_Stanford University,1
1_Distributed & Parallel Computing_University of Washington,2_Distributed & Parallel Computing_Georgia Institute of Technology,1
1_Databases_University of Michigan,2_Databases_Georgia Institute of Technology,1
1_Hardware & Architecture_University of Illinois at Urbana-Champaign,2_Hardware & Architecture_Princeton University,1
1_Networks & Communications_Rice University,2_Networks & Communications_Princeton University,1
1_Algorithms & Theory_Stanford University,2_Algorithms & Theory_University of Texas - Austin,1
1_Programming Languages_Cornell University,2_Programming Languages_Carnegie Mellon University,1
1_Security & Privacy_State University of New York - Stony Brook,2_Security & Privacy_Georgia Institute of Technology,1
1_Algorithms & Theory_University of Maryland - College Park,2_Algorithms & Theory_University of Texas - Austin,1
1_Networks & Communications_University of Toronto,2_Networks & Communications_Massachusetts Institute of Technology,1
1_Operating Systems_Massachusetts Institute of Technology,2_Operating Systems_Stanford University,1
1_Software Engineering_University of Washington,2_Software Engineering_University of Washington,1
1_Artificial Intelligence_Princeton University,2_Artificial Intelligence_Massachusetts Institute of Technology,1
1_Natural Language & Speech_Massachusetts Institute of Technology,2_Natural Language & Speech_Carnegie Mellon University,1
1_Algorithms & Theory_Yale University,2_Algorithms & Theory_Princeton University,1
1_Bioinformatics & Computational Biology_Harvard University,2_Bioinformatics & Computational Biology_Carnegie Mellon University,1
1_Human-Computer Interaction_Stanford University,2_Human-Computer Interaction_University of Washington,1
1_Security & Privacy_Massachusetts Institute of Technology,2_Security & Privacy_Georgia Institute of Technology,1
1_Artificial Intelligence_University of Michigan,2_Artificial Intelligence_Carnegie Mellon University,1
1_Computer Education_Stanford University,2_Computer Education_University of Washington,1
1_Graphics_University of British Columbia,2_Graphics_Cornell University,1
1_Graphics_Georgia Institute of Technology,2_Graphics_University of California - Berkeley,1
1_Programming Languages_Massachusetts Institute of Technology,2_Programming Languages_Carnegie Mellon University,2
1_Artificial Intelligence_Georgia Institute of Technology,2_Artificial Intelligence_University of Washington,1
1_Hardware & Architecture_State University of New York - Stony Brook,2_Hardware & Architecture_Stanford University,1
1_Machine Learning & Pattern Recognition_Carnegie Mellon University,2_Machine Learning & Pattern Recognition_Georgia Institute of Technology,1
1_Artificial Intelligence_Harvard University,2_Artificial Intelligence_Cornell University,1
1_Computer Vision_Stanford University,2_Computer Vision_Cornell University,1
1_Bioinformatics & Computational Biology_Carnegie Mellon University,2_Bioinformatics & Computational Biology_Carnegie Mellon University,1
1_Networks & Communications_Ohio State University,2_Networks & Communications_Georgia Institute of Technology,1
1_Machine Learning & Pattern Recognition_Rutgers - State University of New Jersey - New Brunswick,2_Machine Learning & Pattern Recognition_Carnegie Mellon University,1
1_Computer Vision_Stanford University,2_Computer Vision_University of California - Berkeley,1
1_Scientific Computing_University of Edinburgh,2_Scientific Computing_University of Texas - Austin,1
1_Human-Computer Interaction_Carnegie Mellon University,2_Human-Computer Interaction_University of Washington,2
1_Machine Learning & Pattern Recognition_Yale University,2_Machine Learning & Pattern Recognition_University of Illinois at Urbana-Champaign,1
1_Computer Vision_University of Illinois at Urbana-Champaign,2_Computer Vision_University of Washington,1
1_Graphics_University of Washington,2_Graphics_Georgia Institute of Technology,1
1_Networks & Communications_University of California - Berkeley,2_Networks & Communications_Carnegie Mellon University,2
1_Artificial Intelligence_University of Massachusetts - Amherst,2_Artificial Intelligence_Carnegie Mellon University,1
1_Networks & Communications_Harvard University,2_Networks & Communications_Massachusetts Institute of Technology,1
1_Human-Computer Interaction_University of California - Berkeley,2_Human-Computer Interaction_University of Washington,1
1_Computer Vision_University of Iowa,2_Computer Vision_University of Washington,1
1_Security & Privacy_University of California - Berkeley,2_Security & Privacy_Cornell University,1
1_Computer Education_Carnegie Mellon University,2_Computer Education_Carnegie Mellon University,2
1_Artificial Intelligence_University of California - Irvine,2_Artificial Intelligence_University of Washington,1
1_Algorithms & Theory_University of Texas - Austin,2_Algorithms & Theory_University of Texas - Austin,1
1_Human-Computer Interaction_Arizona State University,2_Human-Computer Interaction_Georgia Institute of Technology,1
1_Artificial Intelligence_Carnegie Mellon University,2_Artificial Intelligence_Carnegie Mellon University,2
1_Distributed & Parallel Computing_University of Maryland - College Park,2_Distributed & Parallel Computing_Georgia Institute of Technology,1
1_Software Engineering_Stanford University,2_Software Engineering_Carnegie Mellon University,1
1_Security & Privacy_Stanford University,2_Security & Privacy_Massachusetts Institute of Technology,1
1_Security & Privacy_University of California - Berkeley,2_Security & Privacy_University of California - Berkeley,2
1_Programming Languages_Stanford University,2_Programming Languages_Massachusetts Institute of Technology,2
1_Software Engineering_University of Madras,2_Software Engineering_University of Illinois at Urbana-Champaign,1
1_Operating Systems_Sant'Anna School of Advanced Studies,2_Operating Systems_University of Illinois at Urbana-Champaign,1
1_Algorithms & Theory_Carnegie Mellon University,2_Algorithms & Theory_Massachusetts Institute of Technology,1
1_Hardware & Architecture_University of California - Berkeley,2_Hardware & Architecture_University of Washington,1
1_Artificial Intelligence_North Carolina State University,2_Artificial Intelligence_Georgia Institute of Technology,1
1_Artificial Intelligence_Carnegie Mellon University,2_Artificial Intelligence_Georgia Institute of Technology,2
1_Machine Learning & Pattern Recognition_Carnegie Mellon University,2_Machine Learning & Pattern Recognition_Carnegie Mellon University,1
1_Networks & Communications_Stanford University,2_Networks & Communications_Massachusetts Institute of Technology,2
1_Data Mining_University of Wisconsin - Madison,2_Data Mining_Cornell University,1
1_Databases_University of Wisconsin - Madison,2_Databases_University of California - Berkeley,2
1_Hardware & Architecture_Stanford University,2_Hardware & Architecture_Princeton University,1
1_Distributed & Parallel Computing_University of California - Berkeley,2_Distributed & Parallel Computing_University of Texas - Austin,1
1_Human-Computer Interaction_Virginia Polytechnic Institute and State University,2_Human-Computer Interaction_Georgia Institute of Technology,1
1_Algorithms & Theory_University of California - Los Angeles,2_Algorithms & Theory_Stanford University,1
1_Software Engineering_University of Sheffield,2_Software Engineering_Georgia Institute of Technology,1
1_Graphics_Columbia University,2_Graphics_Georgia Institute of Technology,1
1_Real-Time & Embedded Systems_University of Minnesota - Twin Cities,2_Real-Time & Embedded Systems_Massachusetts Institute of Technology,1
1_Hardware & Architecture_Massachusetts Institute of Technology,2_Hardware & Architecture_Carnegie Mellon University,1
1_Scientific Computing_Brown University,2_Scientific Computing_University of Illinois at Urbana-Champaign,1
1_Databases_Stanford University,2_Databases_Stanford University,1
