Name,University,JoinYear,Rank,Subfield,Bachelors,Doctorate
Robin R. Murphy,Texas A&M University,2008,Full,Artificial Intelligence,Georgia Institute of Technology,Georgia Institute of Technology
Scott Schaefer,Texas A&M University,2006,Associate,Graphics,Trinity University,Rice University
Sing-Hoi Sze,Texas A&M University,2002,Associate,Bioinformatics & Computational Biology,Chinese University of Hong Kong,University of Southern California
Thomas R. Ioerger,Texas A&M University,1996,Associate,Bioinformatics & Computational Biology,Pennsylvania State University,University of Illinois at Urbana-Champaign
Tiffani L. Williams,Texas A&M University,2005,Associate,Bioinformatics & Computational Biology,Marquette University,University of Central Florida
Timothy Alden Davis,Texas A&M University,2014,Full,Algorithms & Theory,Purdue University,University of Illinois at Urbana-Champaign
Tracy Anne Hammond,Texas A&M University,2006,Associate,Human-Computer Interaction,Columbia University,Massachusetts Institute of Technology
Valerie E. Taylor,Texas A&M University,2003,Full,Distributed & Parallel Computing,Purdue University,University of California - Berkeley
Vivek Sarin,Texas A&M University,2005,Associate,Scientific Computing,Indian Institute of Technology - Delhi,University of Illinois at Urbana-Champaign
Yoonsuck Choe,Texas A&M University,2001,Associate,Artificial Intelligence,Yonsei University,University of Texas - Austin
Greg Andrews,University of Arizona,1979,Full,Distributed & Parallel Computing,Stanford University,University of Washington
Saumya Debray,University of Arizona,1986,Full,Programming Languages,Indian Institute of Technology - Kharagpur,State University of New York - Stony Brook
Alon Efrat,University of Arizona,,Associate,Databases,Technion-Israel Institute of Technology,Tel-Aviv University
Chris Gniady,University of Arizona,,Associate,Operating Systems,Purdue University,Purdue University
John H. Hartman,University of Arizona,1994,Associate,Distributed & Parallel Computing,Brown University,University of California - Berkeley
John Kececioglu,University of Arizona,2000,Associate,Bioinformatics & Computational Biology,University of Arizona,University of Arizona
Stephen Kobourov,University of Arizona,2000,Full,Algorithms & Theory,Dartmouth College,Johns Hopkins University
David Lowenthal,University of Arizona,2009,Full,Distributed & Parallel Computing,University of California - Davis,University of Arizona
Larry Peterson,University of Arizona,,Full,Networks & Communications,Kearney State College,Purdue University
Todd Proebsting,University of Arizona,,Full,Data Mining,Carleton College,University of Wisconsin - Madison
Carlos Scheidegger,University of Arizona,2004,Assistant,Graphics,Universidade Federal do Rio Grande do Sul,University of Utah
Richard T. Snodgrass,University of Arizona,1989,Full,Databases,Carleton College,Carnegie Mellon University
Beichuan Zhang,University of Arizona,2005,Associate,Networks & Communications,Peking University - Beijing,University of California - Los Angeles
Sandiway Fong,University of Arizona,2003,Associate,Natural Language & Speech,Imperial College of Science and Technology - London,Massachusetts Institute of Technology
Sudha Ram,University of Arizona,2008,Full,Machine Learning & Pattern Recognition,University of Madras,University of Illinois at Urbana-Champaign
Alexei (Alyosha) Efros,University of California - Berkeley,2013,Associate,Computer Vision,University of Utah,University of California - Berkeley
Alistair Sinclair,University of California - Berkeley,,Full,Algorithms & Theory,University of Cambridge,University of Edinburgh
Anthony D. Joseph,University of California - Berkeley,1998,Full,Operating Systems,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Armando Fox,University of California - Berkeley,2012,Full,Operating Systems,Massachusetts Institute of Technology,University of California - Berkeley
Benjamin Recht,University of California - Berkeley,2013,Assistant,Artificial Intelligence,University of Chicago,Massachusetts Institute of Technology
Björn Hartmann,University of California - Berkeley,2009,Assistant,Human-Computer Interaction,University of Pennsylvania,Stanford University
Brian A. Barsky,University of California - Berkeley,1981,Full,Bioinformatics & Computational Biology,McGill University - Montreal,University of Utah
Christos Papadimitriou,University of California - Berkeley,1996,Full,Algorithms & Theory,National Technical University of Athens,Princeton University
Daniel Klein,University of California - Berkeley,2006,Associate,Natural Language & Speech,Cornell University,Stanford University
David A. Patterson,University of California - Berkeley,1977,Full,Hardware & Architecture,University of California - Los Angeles,University of California - Los Angeles
David E. Culler,University of California - Berkeley,1989,Full,Operating Systems,University of California - Berkeley,Massachusetts Institute of Technology
David Wagner,University of California - Berkeley,2000,Full,Security & Privacy,Princeton University,University of California - Berkeley
Dawn Song,University of California - Berkeley,2002,Associate,Security & Privacy,Tsinghua University - Beijing,University of California - Berkeley
Doug Tygar,University of California - Berkeley,,Full,Security & Privacy,University of California - Berkeley,Harvard University
Eric Brewer,University of California - Berkeley,1994,Full,Programming Languages,University of California - Berkeley,Massachusetts Institute of Technology
George Necula,University of California - Berkeley, ,Full,Programming Languages,Polytechnic University of Bucharest,Carnegie Mellon University
James Demmel,University of California - Berkeley,1990,Full,Hardware & Architecture,California Institute of Technology,University of California - Berkeley
James O'Brien,University of California - Berkeley,2000,Full,Graphics,Florida International University,Georgia Institute of Technology
Jitendra Malik,University of California - Berkeley,1986,Full,Computer Vision,Indian Institute of Technology - Kanpur,Stanford University
John D. Kubiatowicz,University of California - Berkeley,1998,Full,Operating Systems,Massachusetts Institute of Technology,Massachusetts Institute of Technology
John F. Canny,University of California - Berkeley,1987,Full,Artificial Intelligence,Adelaide University,Massachusetts Institute of Technology
John Wawrzynek,University of California - Berkeley,1988,Full,Hardware & Architecture,State University of New York - Buffalo,California Institute of Technology
Jonathan Shewchuk,University of California - Berkeley,1997,Full,Scientific Computing,Simon Fraser University,Carnegie Mellon University
Joseph M. Hellerstein,University of California - Berkeley,1998,Full,Databases,Harvard University,University of Wisconsin - Madison
Katherine A. Yelick,University of California - Berkeley,1991,Full,Bioinformatics & Computational Biology,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Ken Goldberg,University of California - Berkeley,1995,Full,Artificial Intelligence,University of Pennsylvania,Carnegie Mellon University
Koushik Sen,University of California - Berkeley,,Associate,Programming Languages,Indian Institute of Technology - Kanpur,University of Illinois at Urbana-Champaign
Lior Pachter,University of California - Berkeley,,Full,Bioinformatics & Computational Biology,California Institute of Technology,Massachusetts Institute of Technology
Maneesh Agrawala,University of California - Berkeley,2010,Full,Human-Computer Interaction,Stanford University,Stanford University
Marti Hearst,University of California - Berkeley,1997,Full,Human-Computer Interaction,University of California - Berkeley,University of California - Berkeley
Michael Franklin,University of California - Berkeley,1999,Full,Databases,University of Massachusetts - Amherst,University of Wisconsin - Madison
Nir Yosef,University of California - Berkeley,2014,Assistant,Bioinformatics & Computational Biology,Ben-Gurion University of the Negev,Tel Aviv University
Pieter Abbeel,University of California - Berkeley,2008,Assistant,Artificial Intelligence,Catholic University of Leuven,Stanford University
Prasad Raghavendra,University of California - Berkeley,2012,Assistant,Algorithms & Theory,Indian Institute of Technology - Madras,University of Washington
Randy H. Katz,University of California - Berkeley,1983,Full,Operating Systems,Cornell University,University of California - Berkeley
Ras Bodik,University of California - Berkeley,2002,Full,Programming Languages,Technical University of Košice,University of Pittsburgh
Satish Rao,University of California - Berkeley,1999,Full,Algorithms & Theory,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Scott Shenker,University of California - Berkeley,1998,Full,Operating Systems,Brown University,University of California - Berkeley
Stuart J. Russell,University of California - Berkeley,1996,Full,Artificial Intelligence,University of Oxford,Stanford University
Sylvia Ratnasamy,University of California - Berkeley,2011,Assistant,Operating Systems,University of Pune,University of California - Berkeley
Tapan S. Parikh,University of California - Berkeley,2008,Assistant,Human-Computer Interaction,Brown University,University of Washington
Thomas Griffiths,University of California - Berkeley,2006,Associate,Artificial Intelligence,University of Western Australia,Stanford University
Umesh Vazirani,University of California - Berkeley,,Full,Algorithms & Theory,Indian Institute of Technology - Delhi,University of California - Berkeley
Yun S. Song,University of California - Berkeley,,Associate,Bioinformatics & Computational Biology,Massachusetts Institute of Technology,Stanford University
Bernd Hamann,University of California - Davis,1995,Full,Graphics,University of Braunschweig,Arizona State University
Biswanath Mukherjee,University of California - Davis,1987,Full,Networks & Communications,Indian Institute of Technology - Kharagpur,University of Washington
Dipak Ghosal,University of California - Davis,2004,Full,Networks & Communications,Indian Institute of Technology - Kanpur,University of Louisiana at Lafayette
Hao Chen,University of California - Davis,2004,Associate,Security & Privacy,Southeast University - Nanjing,University of California - Berkeley
Kennet I. Joy,University of California - Davis,,Full,Graphics,University of California - Los Angeles,University of Colorado Boulder
Matthew A. Bishop,University of California - Davis,1984,Full,Security & Privacy,University of California - Berkeley,Purdue University
Matthew Franklin,University of California - Davis,2000,Full,Security & Privacy,Pomona College,Columbia University
Matthew K. Farrens,University of California - Davis,1989,Full,Hardware & Architecture,Nebraska Wesleyan University,University of Wisconsin - Madison
Michael Neff,University of California - Davis,2006,Associate,Graphics,McMaster University,University of Toronto
Phillip W. Rogaway,University of California - Davis,1994,Full,Security & Privacy,University of California - Berkeley,Massachusetts Institute of Technology
Prasant Mohapatra,University of California - Davis,2001,Full,Networks & Communications,National Institute of Technology - Rourkela,Pennsylvania State University
Premkumar T. Devanbu,University of California - Davis,1994,Full,Software Engineering,Indian Institute of Technology - Madras,Rutgers - State University of New Jersey - New Brunswick
Raju Pandey,University of California - Davis,,Associate,Programming Languages,Indian Institute of Technology - Kharagpur,University of Texas - Austin
Shyhtsun Felix Wu,University of California - Davis,1995,Full,Security & Privacy,Tunghai University,Columbia University
Xin Liu,University of California - Davis,2003,Associate,Networks & Communications,Xi'an Jiaotong University,Purdue University
Zhendong Su,University of California - Davis,2002,Full,Programming Languages,University of Texas - Austin,University of California - Berkeley
Alexander Ihler,University of California - Irvine,2007,Associate,Artificial Intelligence,California Institute of Technology,Massachusetts Institute of Technology
Andre van der Hoek,University of California - Irvine,2000,Full,Software Engineering,Erasmus Universiteit Rotterdam,University of Colorado Boulder
Bill Tomlinson,University of California - Irvine,2003,Full,Human-Computer Interaction,Harvard College,Massachusetts Institute of Technology
Charless Fowlkes,University of California - Irvine,2007,Associate,Artificial Intelligence,California Institute of Technology,University of California - Berkeley
Chen Li,University of California - Irvine,2012,Full,Databases,Tsinghua University - Beijing,Stanford University
Cristina V. Lopes,University of California - Irvine,2002,Full,Programming Languages,Instituto Superior Tecnico - Lisbon,Northeastern University
Dan Frost,University of California - Irvine,,Full,Artificial Intelligence,Harvard University,University of California - Irvine
Daniel S. Hirschberg,University of California - Irvine,1981,Full,Algorithms & Theory,City University of New York,Princeton University
David Eppstein,University of California - Irvine,1990,Full,Algorithms & Theory,Stanford University,Columbia University
David Redmiles,University of California - Irvine,1994,Full,Human-Computer Interaction,American University,University of Colorado Boulder
Donald J. Patterson,University of California - Irvine,2005,Associate,Artificial Intelligence,Cornell University,University of Washington
Elaheh (Eli) Bozorgzadeh,University of California - Irvine,2009,Associate,Hardware & Architecture,Sharif University of Technology - Tehran,University of California - Berkeley
Eric Mjolsness,University of California - Irvine,2002,Full,Artificial Intelligence,Washington University - St. Louis,California Institute of Technology
Gary M. Olson,University of California - Irvine,2008,Full,Human-Computer Interaction,University of Minnesota - Twin Cities,Stanford University
Gillian R Hayes,University of California - Irvine,2007,Associate,Human-Computer Interaction,Vanderbilt University,Georgia Institute of Technology
Harry Xu,University of California - Irvine,2011,Assistant,Software Engineering,East China Normal University - Shanghai,Ohio State University
James A. Jones,University of California - Irvine,2008,Assistant,Software Engineering,Ohio State University,Georgia Institute of Technology
Judy Olson,University of California - Irvine,2008,Full,Human-Computer Interaction,Northwestern University,University of Michigan
Magda El Zarki,University of California - Irvine,1999,Full,Multimedia,Cairo University - Cairo,Columbia University
Marco Levorato,University of California - Irvine,2013,Assistant,Artificial Intelligence,University of Ferrara,University of Padua
Michael J. Carey,University of California - Irvine,2008,Full,Databases,Carnegie Mellon University,University of California - Berkeley
Michael T. Goodrich,University of California - Irvine,2001,Full,Algorithms & Theory,Calvin College,Purdue University
Padhraic Smyth,University of California - Irvine,1996,Full,Artificial Intelligence,National University of Ireland,California Institute of Technology
Paul Dourish,University of California - Irvine,2000,Full,Human-Computer Interaction,University of Edinburgh,University College London
Richard Lathrop,University of California - Irvine,1995,Full,Artificial Intelligence,Reed College,Massachusetts Institute of Technology
Rina Dechter,University of California - Irvine,1990,Full,Artificial Intelligence,Hebrew University of Jerusalem,University of California - Los Angeles
Sandy Irani,University of California - Irvine,1997,Full,Algorithms & Theory,Princeton University,University of California - Berkeley
Scott Jordan,University of California - Irvine,1999,Full,Networks & Communications,University of California - Berkeley,University of California - Berkeley
Sharad Mehrotra,University of California - Irvine,,Full,Databases,Indian Institute of Technology - Kanpur,University of Texas - Austin
Stanislaw Jarecki,University of California - Irvine,2003,Associate,Security & Privacy,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Tony Givargis,University of California - Irvine,,Full,Hardware & Architecture,University of California - Riverside,University of California - Riverside
Wayne Hayes,University of California - Irvine,2010,Associate,Machine Learning & Pattern Recognition,University of Toronto,University of Toronto
Yunan Chen,University of California - Irvine,2008,Assistant,Human-Computer Interaction,China Medical University,Drexel University
Zhaixia Yu,University of California - Irvine,2007,Associate,Scientific Computing,University of Science and Technology of China,Rice University
Alan Yuille,University of California - Los Angeles,2007,Full,Artificial Intelligence,University of Cambridge,Harvard University
Alfonso F. Cardenas,University of California - Los Angeles,1971,Full,Databases,San Diego State University,University of California - Los Angeles
Amit Sahai,University of California - Los Angeles,2004,Full,Algorithms & Theory,University of California - Berkeley,Massachusetts Institute of Technology
Ani Nahapetian,University of California - Los Angeles,,Adjunct,Hardware & Architecture,University of California - Los Angeles,University of California - Los Angeles
Carlo Zaniolo,University of California - Los Angeles,1991,Full,Data Mining,University of Padua,University of California - Los Angeles
Christopher Lee,University of California - Los Angeles,1998,Full,Bioinformatics & Computational Biology,Harvard University,Stanford University
D. Stott Parker,University of California - Los Angeles,1979,Full,Data Mining,Princeton University,University of Illinois at Urbana-Champaign
Demetri Terzopoulos,University of California - Los Angeles,2005,Full,Graphics,McGill University - Montreal,Massachusetts Institute of Technology
Eleazar Eskin,University of California - Los Angeles,2006,Associate,Bioinformatics & Computational Biology,University of Chicago,Columbia University
Eliezer Gafni,University of California - Los Angeles,1982,Full,Algorithms & Theory,Technion-Israel Institute of Technology,Massachusetts Institute of Technology
Glenn Reinman,University of California - Los Angeles,2001,Associate,Hardware & Architecture,Massachusetts Institute of Technology,University of California - San Diego
Jason (Jingsheng) Cong,University of California - Los Angeles,1990,Full,Hardware & Architecture,Peking University - Beijing,University of Illinois at Urbana-Champaign
Jason Ernst,University of California - Los Angeles,2012,Assistant,Algorithms & Theory,University of Maryland - College Park,Carnegie Mellon University
Joseph Distefano III,University of California - Los Angeles,1966,Full,Bioinformatics & Computational Biology,City College of New York,University of California - Los Angeles
Judea Pearl,University of California - Los Angeles,1970,Full,Artificial Intelligence,Technion-Israel Institute of Technology,Polytechnic University - Brooklyn - New York
Junghoo (John) Cho,University of California - Los Angeles,,Associate,World Wide Web,Seoul National University - Seoul,Stanford University
Lixia Zhang,University of California - Los Angeles,1995,Full,Networks & Communications,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Majid Sarrafzadeh,University of California - Los Angeles,2000,Full,Real-Time & Embedded Systems,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
Mani Srivastava,University of California - Los Angeles,,Full,Networks & Communications,Indian Institute of Technology - Kanpur,University of California - Berkeley
Mario Gerla,University of California - Los Angeles,1976,Full,Networks & Communications,Polytechnic University of Milan,University of California - Los Angeles
Milos D. Ercegovac,University of California - Los Angeles,1984,Full,Hardware & Architecture,University of Belgrade,University of Illinois at Urbana-Champaign
Rafail Ostrovsky,University of California - Los Angeles,2003,Full,Security & Privacy,State University of New York - Buffalo,Massachusetts Institute of Technology
Richard Korf,University of California - Los Angeles,1985,Full,Artificial Intelligence,Massachusetts Institute of Technology,Carnegie Mellon University
Richard R. Muntz,University of California - Los Angeles,,Full,Databases,Pratt Institute,Princeton University
Rupak Majumdar,University of California - Los Angeles,2004,Associate,Computer Education,Indian Institute of Technology - Kanpur,University of California - Berkeley
Sheila Greibach,University of California - Los Angeles,1969,Full,Algorithms & Theory,Radcliffe College,Harvard University
Song Chun Zhu,University of California - Los Angeles,2002,Full,Computer Vision,University of Science and Technology of China,Harvard University
Stanley Osher,University of California - Los Angeles,1977,Full,Scientific Computing,Brooklyn College,New York University
Stefano Soatto,University of California - Los Angeles,2000,Full,Computer Vision,University of Padua,California Institute of Technology
Todd Millstein,University of California - Los Angeles,2004,Associate,Programming Languages,Brown University,University of Washington
Tyson Condie,University of California - Los Angeles,2012,Assistant,Databases,University of California - Berkeley,University of California - Berkeley
Alex C. Snoeren,University of California - San Diego,2003,Full,Operating Systems,Georgia Institute of Technology,Massachusetts Institute of Technology
Alex Orailoglu,University of California - San Diego,1987,Full,Hardware & Architecture,Harvard University,University of Illinois at Urbana-Champaign
Alin Deutsch,University of California - San Diego,,Full,Databases,Polytechnic University of Bucharest,University of Pennsylvania
Alon Orlitsky,University of California - San Diego,1997,Full,Algorithms & Theory,Ben-Gurion University of the Negev,Stanford University
Amin Vahdat,University of California - San Diego,2003,Adjunct,Hardware & Architecture,University of California - Berkeley,University of California - Berkeley
Bill Lin,University of California - San Diego,1997,Adjunct,Hardware & Architecture,University of California - Berkeley,University of California - Berkeley
Bradley Calder,University of California - San Diego,1997,Adjunct,Hardware & Architecture,University of Washington,University of Colorado Boulder
Daniel Kane,University of California - San Diego,2014,Assistant,Algorithms & Theory,Massachusetts Institute of Technology,Harvard University
Dean Tullsen,University of California - San Diego,1996,Full,Hardware & Architecture,University of California - Los Angeles,University of Washington
Falko Kuester,University of California - San Diego,2001,Affiliate,Graphics,Technical University of Berlin,University of California - Davis
Garrison Cottrell,University of California - San Diego,1987,Full,Artificial Intelligence,Cornell University,University of Rochester
Geoffrey Voelker,University of California - San Diego,2000,Full,Operating Systems,University of California - Berkeley,University of Washington
Hovav Shacham,University of California - San Diego,2007,Assistant,Security & Privacy,Stanford University,Stanford University
Jeanne Ferrante,University of California - San Diego,1994,Full,Hardware & Architecture,New College - Hofstra University,Massachusetts Institute of Technology
Joseph Pasquale,University of California - San Diego,1987,Full,Operating Systems,Massachusetts Institute of Technology,University of California - Berkeley
Kamalika Chaudhuri,University of California - San Diego,2010,Assistant,Machine Learning & Pattern Recognition,Indian Institute of Technology - Kanpur,University of California - Berkeley
Keith Marzullo,University of California - San Diego,1993,Full,Hardware & Architecture,Stanford University,Stanford University
Michael Taylor,University of California - San Diego,2006,Associate,Hardware & Architecture,Dartmouth College,Massachusetts Institute of Technology
Mihir Bellare,University of California - San Diego,1995,Full,Security & Privacy,California Institute of Technology,Massachusetts Institute of Technology
Pradeep Khosla,University of California - San Diego,,Full,Hardware & Architecture,Indian Institute of Technology - Kharagpur,Carnegie Mellon University
Rajesh Gupta,University of California - San Diego,2002,Full,Hardware & Architecture,Indian Institute of Technology - Kanpur,Stanford University
Ranjit Jhala,University of California - San Diego,,Associate,Programming Languages,Indian Institute of Technology - Delhi,University of California - Berkeley
Ravi Ramamoorthi,University of California - San Diego,2009,Associate,Graphics,California Institute of Technology,Stanford University
Russell Impagliazzo,University of California - San Diego,1989,Full,Algorithms & Theory,Wesleyan University,University of California - Berkeley
Ryan Kastner,University of California - San Diego,2007,Full,Hardware & Architecture,Northwestern University,University of California - Los Angeles
Samuel Buss,University of California - San Diego,,Full,Algorithms & Theory,Emory University,Princeton University
Sanjoy Dasgupta,University of California - San Diego,2002,Associate,Machine Learning & Pattern Recognition,Harvard University,University of California - Berkeley
Scott Baden,University of California - San Diego,1990,Full,Scientific Computing,Duke University,University of California - Berkeley
Scott Klemmer,University of California - San Diego,2013,Associate,Human-Computer Interaction,Brown University,University of California - Berkeley
Serge Belongie,University of California - San Diego,2000,Adjunct,Computer Vision,California Institute of Technology,University of California - Berkeley
Stefan Savage,University of California - San Diego,,Full,Security & Privacy,Carnegie Mellon University,University of Washington
Trey Ideker,University of California - San Diego,,Full,Bioinformatics & Computational Biology,Massachusetts Institute of Technology,University of Washington
Vineet Bafna,University of California - San Diego,2003,Full,Bioinformatics & Computational Biology,Indian Institute of Technology - Delhi,Pennsylvania State University
Yuanyuan Zhou,University of California - San Diego,2009,Full,Hardware & Architecture,Peking University - Beijing,Princeton University
Zhuowen Tu,University of California - San Diego,2013,Assistant,Machine Learning & Pattern Recognition,Tsinghua University - Beijing,Ohio State University
Ambuj K. Singh,University of California - Santa Barbara,2000,Full,Data Mining,Indian Institute of Technology - Kharagpur,University of Texas - Austin
Ben Y. Zhao,University of California - Santa Barbara,2004,Associate,Networks & Communications,Yale University,University of California - Berkeley
Divyakant Agrawal,University of California - Santa Barbara,,Full,Databases,Birla Institute of Technology and Science - Pilani,State University of New York - Stony Brook
Elizabeth Belding,University of California - Santa Barbara,2009,Full,Networks & Communications,Florida State University,University of California - Santa Barbara
Fred Chong,University of California - Santa Barbara,,Full,Hardware & Architecture,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Heather Zheng,University of California - Santa Barbara,2005,Full,Networks & Communications,Xi'an Jiaotong University,University of Maryland - College Park
Huijia (Rachel) Lin,University of California - Santa Barbara,2013,Assistant,Security & Privacy,Zhejiang University - Hangzhou,Cornell University
Jianwen Su,University of California - Santa Barbara,1990,Full,Databases,Fudan University - Shanghai,University of Southern California
John Gilbert,University of California - Santa Barbara,2002,Full,Scientific Computing,University of California - Santa Barbara,Stanford University
Kevin Almeroth,University of California - Santa Barbara,,Full,Networks & Communications,Georgia Institute of Technology,Georgia Institute of Technology
Linda Petzold,University of California - Santa Barbara,2003,Full,Scientific Computing,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
Matthew Turk,University of California - Santa Barbara,2000,Full,Computer Vision,Virginia Polytechnic Institute and State University,Massachusetts Institute of Technology
Richard A. Kemmerer,University of California - Santa Barbara,1979,Full,Security & Privacy,Pennsylvania State University,University of California - Los Angeles
Richard Wolski,University of California - Santa Barbara,2001,Full,Distributed & Parallel Computing,California Polytechnic State University,University of California - Davis
Stefano Tessaro,University of California - Santa Barbara,2013,Assistant,Security & Privacy,Eidgenossische Technische Hochschule - Zurich,Eidgenossische Technische Hochschule - Zurich
Subhash Suri,University of California - Santa Barbara,,Full,Algorithms & Theory,Indian Institute of Technology - Roorkee,Johns Hopkins University
Tao Yang,University of California - Santa Barbara,1993,Full,Operating Systems,Zhejiang University - Hangzhou,Rutgers - State University of New Jersey - New Brunswick
Teofilo Gonzalez,University of California - Santa Barbara,2011,Full,Algorithms & Theory,Monterrey Institute of Technology and Higher Education,University of Minnesota - Twin Cities
Tevfik Bultan,University of California - Santa Barbara,2009,Full,Programming Languages,Middle East Technical University - Ankara,University of Maryland - College Park
Tim Sherwood,University of California - Santa Barbara,2003,Full,Hardware & Architecture,University of California - Davis,University of California - San Diego
Tobias Hollerer,University of California - Santa Barbara,2002,Full,Computer Vision,Princeton University,Columbia University
Wim van Dam,University of California - Santa Barbara,2004,Associate,Algorithms & Theory,Radboud University Nijmegen,University of Amsterdam
Yuan-Fang Wang,University of California - Santa Barbara,1987,Full,Computer Vision,National Taiwan University - Taipei,University of Texas - Austin
Alexander Razborov,University of Chicago,2008,Full,Algorithms & Theory,Moscow State University,Steklov Mathematical Institute
Andrew Chien,University of Chicago,2012,Full,Networks & Communications,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Gordon Kindlmann,University of Chicago,2004,Assistant,Scientific Computing,Cornell University,University of Utah
Gregory Shakhnarovich,University of Chicago,2008,Assistant,Machine Learning & Pattern Recognition,Hebrew University of Jerusalem,Massachusetts Institute of Technology
Haryadi Gunawi,University of Chicago,2012,Assistant,Operating Systems,University of Wisconsin - Madison,University of Wisconsin - Madison
Henry Hoffmann,University of Chicago,2013,Assistant,Computer Education,University of North Carolina - Chapel Hill,Massachusetts Institute of Technology
Jinbo Xu,University of Chicago,2012,Assistant,Bioinformatics & Computational Biology,University of Science and Technology of China,University of Waterloo - Ontario
John Goldsmith,University of Chicago,1984,Full,Artificial Intelligence,Swarthmore College,Massachusetts Institute of Technology
John Reppy,University of Chicago,2002,Full,Scientific Computing,University of Connecticut,Cornell University
Julia Chuzhoy,University of Chicago,2007,Associate,Algorithms & Theory,Technion-Israel Institute of Technology,Technion-Israel Institute of Technology
Karen Livescu,University of Chicago,2005,Assistant,Natural Language & Speech,Princeton University,Massachusetts Institute of Technology
L. Ridgway Scott,University of Chicago,1998,Full,Bioinformatics & Computational Biology,Tulane University,Massachusetts Institute of Technology
Laszlo Babai,University of Chicago,1987,Full,Computer Education,Hungarian Academy of Sciences,Hungarian Academy of Sciences
Madhur Tulsiani,University of Chicago,2013,Associate,Algorithms & Theory,Indian Institute of Technology - Kanpur,University of California - Berkeley
Michael O'Donnell,University of Chicago,1985,Full,Computer Education,Purdue University,Cornell University
Raquel Urtasun,University of Chicago,2014,Assistant,Computer Vision,Public University of Navarra,École Polytechnique Fédérale de Lausanne
Rick Stevens,University of Chicago,1982,Full,Scientific Computing,Michigan State University,University of Chicago
Risi Kondor,University of Chicago,2011,Assistant,Machine Learning & Pattern Recognition,University of Cambridge,Columbia University
Robert Soare,University of Chicago,1975,Full,Algorithms & Theory,Princeton University,Cornell University
Stuart Kurtz,University of Chicago,1983,Full,Computer Education,Michigan State University,University of Illinois at Urbana-Champaign
Todd Dupont,University of Chicago,1975,Full,Scientific Computing,Rice University,Rice University
Yali Amit,University of Chicago,2000,Full,Algorithms & Theory,Hebrew University of Jerusalem,Weizmann Institute of Science
Aaron Clauset,University of Colorado Boulder,2010,Assistant,Algorithms & Theory,Haverford College,University of New Mexico
Andrzej Ehrenfeucht,University of Colorado Boulder,2006,Full,Bioinformatics & Computational Biology,Warsaw University,Institute of Mathematics Polish Academy of Sciences
Ann Eisenberg,University of Colorado Boulder,,Adjunct,Scientific Computing,University of Hawaii,University of Colorado Boulder
Bor-Yuh Evan Chang,University of Colorado Boulder,2009,Assistant,Scientific Computing,Carnegie Mellon University,University of California - Berkeley
Clayton Lewis,University of Colorado Boulder,1984,Full,Human-Computer Interaction,Princeton University,University of Michigan
Debra Goldberg,University of Colorado Boulder,2005,Assistant,Algorithms & Theory,Yale University,Cornell University
Dirk Grunwald,University of Colorado Boulder,1989,Full,Networks & Communications,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
Douglas Sicker,University of Colorado Boulder,1990,Full,Networks & Communications,University of Pittsburgh,University of Pittsburgh
Elizabeth Bradley,University of Colorado Boulder,1992,Full,Artificial Intelligence,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Elizabeth Jessup,University of Colorado Boulder,2006,Full,Scientific Computing,Williams College,Yale University
Henry Tufo,University of Colorado Boulder,2002,Full,Scientific Computing,Duke University,Brown University
James Martin,University of Colorado Boulder,1989,Full,Natural Language & Speech,Columbia University,University of California - Berkeley
John Bennett,University of Colorado Boulder,2004,Full,Computer Education,Rice University,University of Washington
John Black,University of Colorado Boulder,2002,Associate,Security & Privacy,California State University - Hayward,University of California - Davis
Kenneth Anderson,University of Colorado Boulder,1998,Associate,Software Engineering,University of California - Irvine,University of California - Irvine
Lawrence Hunter,University of Colorado Boulder,2000,Full,Bioinformatics & Computational Biology,Yale University,Yale University
Leysia Palen,University of Colorado Boulder,1998,Associate,Human-Computer Interaction,University of California - San Diego,University of California - Irvine
Martha Palmer,University of Colorado Boulder,2005,Full,Bioinformatics & Computational Biology,University of Texas - Austin,University of Edinburgh
Michael Eisenberg,University of Colorado Boulder,1992,Full,Machine Learning & Pattern Recognition,Columbia University,Massachusetts Institute of Technology
Michael Mozer,University of Colorado Boulder,1988,Full,Artificial Intelligence,Brown University,University of California - San Diego
Nikolaus Correll,University of Colorado Boulder,2009,Assistant,Artificial Intelligence,Technical University of Munich,École Polytechnique Fédérale de Lausanne
Qin Lv,University of Colorado Boulder,2010,Assistant,Data Mining,Tsinghua University - Beijing,Princeton University
Richard Han,University of Colorado Boulder,2001,Associate,Computer Education,Stanford University,University of California - Berkeley
Roger King,University of Colorado Boulder,,Full,Graphics,Occidental College,University of Southern California
Shaun Kane,University of Colorado Boulder,2014,Assistant,Human-Computer Interaction,University of Massachusetts - Amherst,University of Washington
